run       n        time
1        250       0.0013 
2        250       0.0012 
3        250       0.0011 
4        250       0.0007 
5        250       0.0007 
6        250       0.0010 
7        250       0.0008 
8        250       0.0010 
9        250       0.0009 
10       250       0.0006 
avg for n = 0 for lucky is 0.0009 seconds
run       n        time
1        500       0.0029 
2        500       0.0031 
3        500       0.0026 
4        500       0.0028 
5        500       0.0037 
6        500       0.0022 
7        500       0.0031 
8        500       0.0027 
9        500       0.0026 
10       500       0.0029 
avg for n = 358 for lucky is 0.0030 seconds
run       n        time
1        1000      0.0164 
2        1000      0.0148 
3        1000      0.0120 
4        1000      0.0170 
5        1000      0.0169 
6        1000      0.0124 
7        1000      0.0112 
8        1000      0.0116 
9        1000      0.0122 
10       1000      0.0109 
avg for n = 993 for lucky is 0.0138 seconds
run       n        time
1        2000      0.0623 
2        2000      0.0674 
3        2000      0.0585 
4        2000      0.0588 
5        2000      0.0695 
6        2000      0.0702 
7        2000      0.0461 
8        2000      0.0608 
9        2000      0.0526 
10       2000      0.0658 
avg for n = 766 for lucky is 0.0626 seconds
run       n        time
1        2500      0.0002 
2        2500      0.0003 
3        2500      0.0003 
4        2500      0.0002 
5        2500      0.0002 
6        2500      0.0002 
7        2500      0.0002 
8        2500      0.0002 
9        2500      0.0003 
10       2500      0.0002 
avg for n = 2500 for used is 0.0065 seconds
run       n        time
1        5000      0.0005 
2        5000      0.0005 
3        5000      0.0005 
4        5000      0.0005 
5        5000      0.0005 
6        5000      0.0005 
7        5000      0.0006 
8        5000      0.0005 
9        5000      0.0005 
10       5000      0.0005 
avg for n = 5000 for used is 0.0012 seconds
run       n        time
1        10000     0.0010 
2        10000     0.0009 
3        10000     0.0017 
4        10000     0.0020 
5        10000     0.0027 
6        10000     0.0018 
7        10000     0.0015 
8        10000     0.0027 
9        10000     0.0021 
10       10000     0.0021 
avg for n = 10000 for used is 0.0020 seconds
run       n        time
1        20000     0.0031 
2        20000     0.0029 
3        20000     0.0026 
4        20000     0.0024 
5        20000     0.0029 
6        20000     0.0031 
7        20000     0.0025 
8        20000     0.0024 
9        20000     0.0026 
10       20000     0.0021 
avg for n = 20000 for used is 0.0029 seconds
run       n        time
1        40000     0.0044 
2        40000     0.0045 
3        40000     0.0044 
4        40000     0.0047 
5        40000     0.0051 
6        40000     0.0052 
7        40000     0.0044 
8        40000     0.0042 
9        40000     0.0049 
10       40000     0.0045 
avg for n = 40000 for used is 0.0049 seconds
run       n        time
1        80000     0.0094 
2        80000     0.0116 
3        80000     0.0105 
4        80000     0.0106 
5        80000     0.0153 
6        80000     0.0139 
7        80000     0.0099 
8        80000     0.0118 
9        80000     0.0093 
10       80000     0.0132 
avg for n = 80000 for used is 0.0120 seconds
run       n        time
1        10000     0.0003 
2        10000     0.0003 
3        10000     0.0003 
4        10000     0.0002 
5        10000     0.0002 
6        10000     0.0002 
7        10000     0.0002 
8        10000     0.0002 
9        10000     0.0002 
10       10000     0.0002 
avg for n = 10000 for knuth is 0.0015 seconds
run       n        time
1        20000     0.0005 
2        20000     0.0005 
3        20000     0.0008 
4        20000     0.0008 
5        20000     0.0008 
6        20000     0.0008 
7        20000     0.0006 
8        20000     0.0006 
9        20000     0.0006 
10       20000     0.0006 
avg for n = 20000 for knuth is 0.0008 seconds
run       n        time
1        40000     0.0012 
2        40000     0.0010 
3        40000     0.0010 
4        40000     0.0009 
5        40000     0.0009 
6        40000     0.0008 
7        40000     0.0008 
8        40000     0.0008 
9        40000     0.0007 
10       40000     0.0006 
avg for n = 40000 for knuth is 0.0010 seconds
run       n        time
1        80000     0.0013 
2        80000     0.0013 
3        80000     0.0013 
4        80000     0.0014 
5        80000     0.0014 
6        80000     0.0014 
7        80000     0.0014 
8        80000     0.0016 
9        80000     0.0013 
10       80000     0.0013 
avg for n = 80000 for knuth is 0.0015 seconds
run       n        time
1        160000    0.0030 
2        160000    0.0026 
3        160000    0.0030 
4        160000    0.0043 
5        160000    0.0051 
6        160000    0.0039 
7        160000    0.0037 
8        160000    0.0030 
9        160000    0.0026 
10       160000    0.0026 
avg for n = 160000 for knuth is 0.0035 seconds
run       n        time
1        320000    0.0058 
2        320000    0.0052 
3        320000    0.0053 
4        320000    0.0053 
5        320000    0.0053 
6        320000    0.0052 
7        320000    0.0052 
8        320000    0.0052 
9        320000    0.0052 
10       320000    0.0052 
avg for n = 320000 for knuth is 0.0056 seconds
run       n        time
1        640000    0.0150 
2        640000    0.0107 
3        640000    0.0107 
4        640000    0.0107 
5        640000    0.0107 
6        640000    0.0107 
7        640000    0.0107 
8        640000    0.0107 
9        640000    0.0107 
10       640000    0.0114 
avg for n = 640000 for knuth is 0.0118 seconds
